id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7474026,Funko POP Disney,Launchpad McQuack #297,$5.00,$14.00,$16.10,,,,,,,,,$1.10,$5.49,$3.80,$14.99,$4.50,$17.99,889698132619,7,Darkwing Duck,,,,2017-01-01
7483907,Funko POP Disney,Lea #623,$6.00,$8.44,$12.37,,,,,,,,,$1.30,$6.59,$1.90,$9.29,$3.50,$13.99,889698399425,1,Kingdom Hearts,,,,
7483909,Funko POP Disney,Lea With Keyblade #626,$5.60,$15.00,$18.00,,,,,,,,,$1.20,$6.19,$4.30,$16.99,$5.00,$19.99,889698430272,1,Kingdom Hearts,,,,
7483634,Funko POP Disney,Lexington #395,$10.00,$13.00,$15.70,,,,,,,,,$2.80,$10.99,$3.50,$13.99,$4.30,$16.99,889698309530,1,Gargoyles,,,,
7483915,Funko POP Disney,Li Shang #631,$3.71,$14.47,$16.65,,,,,,,,,$0.80,$4.09,$4.00,$15.99,$4.50,$17.99,889698453295,15,Mulan,,,,
7473580,Funko POP Disney,Lightning McQueen #128,$38.76,$66.50,$69.00,,,,,,,,,$17.20,$42.99,$29.20,$72.99,$30.40,$75.99,849803042370,8,Cars,,,,2015-01-01
7474002,Funko POP Disney,Lightning McQueen #282,$33.34,$57.97,$65.91,,,,,,,,,$14.80,$36.99,$25.60,$63.99,$29.20,$72.99,889698141796,11,Cars 3,,,,2017-01-01
7474004,Funko POP Disney,Lightning McQueen [Meijer] #282,$27.50,$51.00,$59.99,,,,,,,,,$9.00,$29.99,$22.40,$55.99,$26.40,$65.99,889698141796,1,Cars 3,,,,2017-01-01
7473581,Funko POP Disney,Lightning McQueen [SDCC] #128,,$200.00,$462.50,,,,,,,,,,,$110.00,$220.00,$305.40,$509.00,849803056384,1,Cars.  Blue. Limited Edition,,,,2015-01-01
7474003,Funko POP Disney,Lightning McQueen [Target] #282,$37.50,$73.21,$82.99,,,,,,,,,$16.40,$40.99,$32.40,$80.99,$36.40,$90.99,,1,Cars 3.  Metallic,,,,2017-01-01
7474005,Funko POP Disney,Lightning McQueen [Toys R Us] #283,$27.83,$42.85,$43.10,,,,,,,,,$9.30,$30.99,$18.80,$46.99,$18.80,$46.99,889698142342,1,Cars 3,,,,2017-01-01
7488149,Funko POP Disney,Lilo #1043,$5.00,$12.00,$14.48,,,,,,,,,$1.10,$5.49,$3.30,$12.99,$4.00,$15.99,889698556149,6,Lilo & Stitch,,,,2021-01-01
7488157,Funko POP Disney,Lilo #1047,$7.67,$9.77,$12.61,,,,,,,,,$1.70,$8.39,$2.80,$10.99,$3.50,$13.99,889698556217,1,Lilo & Stitch,,,,2021-01-01
